restaurant_name;cuisine_type;email;phone;address;city;source
Le Vieux Lyon;Restaurant français;nom@domain.com;04 78 42 48 89;44 Rue Saint-Jean, 69005 Lyon;Lyon;google-maps
Restaurant Bus Toqué Paris;Restaurant français;contact@bustoque.fr;06 21 40 20 41;107 Av. des Champs-Élysées, 75008 Paris;Paris;google-maps
La Table d’Ambre;Restaurant;;04 72 56 12 76;46 Rue Franklin, 69002 Lyon;Lyon;google-maps
Mon Paris !;Restaurant français;;01 42 94 86 03;6 Rue Édouard VII, 75009 Paris;Paris;google-maps
Maison Moly;Restaurant français;;04 78 08 89 52;38 Rue de l'Arbre Sec, 69001 Lyon;Lyon;google-maps
Pomelo Bistrot - Restaurant à Paris 2e;Bistro;pomelo.bistrot@gmail.com;01 40 13 07 31;153 Rue Montmartre, 75002 Paris;Paris;google-maps
Garden Bistro - Restaurant Français Rue Mercière;Restaurant;gardenbistrocorporate@gmail.com;04 72 40 08 19;50 Rue Mercière, 69002 Lyon;Lyon;google-maps
Canaima Restaurant;Restaurant de cuisine fusion;605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com;09 87 05 87 25;24 Rue René Leynaud, 69001 Lyon;Lyon;google-maps
Monsieur P;Restaurant français;Contact@monsieurp.fr;04 81 18 70 24;8 Pl. des Célestins, 69002 Lyon;Lyon;google-maps
Café Luna;Restaurant français;;04 72 16 77 42;24 Rue du Doyenné, 69005 Lyon;Lyon;google-maps
Florida;Restaurant;;01 80 06 61 94;1 Rue Montorgueil, 75001 Paris;Paris 1er;google-maps
Au Pied de Cochon;Restaurant français;;01 40 13 77 00;6 Rue Coquillière, 75001 Paris;Paris 1er;google-maps
Restaurant Café Joséphine Paris 1;Restaurant;605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com;01 89 19 59 89;3 Pl. des Deux Ecus, 75001 Paris;Paris 1er;google-maps
Au Vieux Comptoir;Restaurant français;auvieuxcomptoir@gmail.com;01 45 08 53 08;17 Rue des Lavandières Sainte-Opportune, 75001 Paris;Paris 1er;google-maps
Campelli;Restaurant gastronomique;marie@exemple.com;09 53 84 21 19;36 Rue Croix des Petits Champs, 75001 Paris;Paris 1er;google-maps
Maslow;Restaurant végétarien;contact@maslow-group.comNum;;14 Quai de la Mégisserie, 75001 Paris;Paris 1er;google-maps
Restaurant de La Cordonnerie;Restaurant français;nom@domain.com;01 42 60 17 42;20 Rue Saint-Roch, 75001 Paris;Paris 1er;google-maps
Le Florentin;Restaurant français;;01 42 60 13 42;10 Rue Saint-Florentin, 75001 Paris;Paris 1er;google-maps
Le Relais du Louvre;Restaurant;;09 66 44 96 97;3 Rue du Louvre, 75001 Paris;Paris 1er;google-maps
Brasserie Flottes;Brasserie;nom@domain.com;01 42 60 80 89;2 Rue Cambon, 75001 Paris;Paris 1er;google-maps
Mystery Cuisine;Restaurant gastronomique;mysterycuisine@gmail.com;01 40 20 03 02;37 bis Rue de Montpensier, 75001 Paris;Paris 1er;google-maps
CAFE SAINT HONORÉ;Restaurant;;01 42 61 49 31;194 Rue Saint-Honoré, 75001 Paris;Paris 1er;google-maps
Restaurant Omar Dhiab;Restaurant gastronomique;restaurant@omardhiab.com;01 42 33 52 47;23 Rue Hérold, 75001 Paris;Paris 1er;google-maps
LA RÉGALADE;Restaurant français;contactstho@laregalade.paris;01 42 21 92 40;106 Rue Saint-Honoré, 75001 Paris;Paris 1er;google-maps
Bistrot Richelieu;Restaurant français;605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com;01 42 60 19 16;45 Rue de Richelieu, 75001 Paris;Paris 1er;google-maps
NHOME;Restaurant gastronomique;booking@nhomeparis.com;01 89 33 48 43;41 Rue de Montpensier, 75001 Paris;Paris 1er;google-maps
