restaurant_name;cuisine_type;email;phone;address;neighborhood;source
Pizza Delizia;Pizzeria napolitaine;contact@pizzadelizia.fr;04 84 88 51 96;;Nord Montpellier;pizzadelizia.fr
Pizzeria la Casa;Pizzeria;saidchatir1988@gmail.com;07 53 03 63 00;81 bis rue du faubourg boutonnet 34090 Montpellier;Boutonnet;eatbu.com
Pizza-Montpellier;Pizzeria;contact@pizza-montpellier.com;04 67 54 34 28;;Montpellier;pizza-montpellier.com
Wasabi Sushi;Japonais sushi;wasabisushi34000@gmail.com;04 67 59 80 97;71 Rue de l'aiguillerie 34000 Montpellier;Ecusson;eatbu.com
Burger et Ratatouille;Burger;resa@burgeretratatouille.com;04 12 16 01 26;Place du Marche aux Fleurs 34000 Montpellier;Ecusson;burgeretratatouille.com
Meet Your Meat;Steakhouse grillades;meetyourmeat.montpellier@gmail.com;;164 rue Shirin Ebadi 34000 Montpellier;Port Marianne;meetyourmeat.fr
Chez Boris;Viande francaise;contact@chezboris.com;04 67 02 82 38;17 boulevard Sarrail 34000 Montpellier;Peyrou;chezboris.com
Le Tapas;Tapas bar;letapas34@gmail.com;04 67 59 21 52;5 rue des Tresoriers de la Bourse 34000 Montpellier;Ecusson;le-tapas34.fr
Le Cafe des Arts;Tapas bar restaurant;contact@lecafedesartsmontpellier.fr;04 67 60 81 87;3 Rue Saint-Guilhem 34000 Montpellier;Ecusson;lecafedesartsmontpellier.fr
Meraki Taverna;Grec mezze;contact@meraki.restaurant;04 67 05 95 46;4 rue de la Republique 34000 Montpellier;Ecusson;meraki.restaurant
Tex Mex 34;Mexicain;contact@texmex34.fr;04 67 75 29 09;1603 avenue de la Pompignane 34000 Montpellier;Pompignane;texmex34.fr
Kaz'a Creole;Creole antillais;kazacreole@gmail.com;;12 rue Chaptal Montpellier;Centre;kazacreole.com
Tout & Bon Traiteur;Traiteur;montpellier@toutetbon.fr;04 99 51 63 75;720 rue Louis Lepine - Millenaire 34000 Montpellier;Millenaire;toutetbon.fr
Traiteur Tremeau;Traiteur;traiteur.tremeau@gmail.com;06 99 41 25 93;856 rue d'Alco 34080 Montpellier;Alco;traiteur-montpellier-tremeau.com
Amis Traiteur;Traiteur;contact@amistraiteur.com;04 67 79 29 06;379 avenue des razeteurs 34160 Castries;Castries (peri-Montpellier);amistraiteur.com
Amelie Traiteur;Traiteur;accueil@amelietraiteur.com;04 67 87 69 77;Route Departementale D189E1 34130 Mauguio;Mauguio (peri-Montpellier);amelietraiteur.com
Georges Cafe;Salon de the restaurant;contact@georgescafe.fr;04 67 66 01 63;11bis Rue de la Loge Montpellier;Ecusson;georgescafe.fr
Le Cinq;Francais bistronomique;resalecinq@gmail.com;04 67 58 31 30;5 boulevard des Arceaux 34000 Montpellier;Arceaux;restaurant-le-cinq-montpellier.com
Les Vignes;Bistronomique;t.germain34@gmail.com;04 67 60 48 42;2 Rue Bonnier d'Alco 34000 Montpellier;Ecusson;les-vignes-restaurant.net
Rosemarie;Francais contemporain;contact@rosemarie-montpellier.fr;;3 rue des soeurs noires 34000 Montpellier;Ecusson;rosemarie-montpellier.fr
D2 Restaurant;Francais contemporain;contact@d2restaurant.fr;04 99 51 92 02;35 allee Jean Marie Tjibaou 34000 Montpellier;Port Marianne;d2restaurant.fr
BG Restaurant;Francais contemporain;contact@bg-restaurant.fr;04 11 75 21 07;180 Rue de Galata 34000 Montpellier;Port Marianne;bg-restaurant.fr
L'Aveyronnais;Regional aveyronnais;communication.aveyronnais@gmail.com;;6 rue de l'herberie 34000 Montpellier;Ecusson;restaurant-laveyronnais.fr
Le Bazar;Francais mediterraneen;contact@restolebazar.com;04 67 02 15 40;448 rue de la Roqueturiere 34090 Montpellier;Aiguelongue;restolebazar.com
Le Declic;Brasserie grillades;contact@brasserieledeclic.com;04 67 03 15 05;20 All. Antonin Chauliac 34080 Montpellier;Celleneuve;brasserieledeclic.com
Saine Ouverte;Healthy bio;contact@saineouverte.com;04 67 07 34 48;41 Rue Francois Coli 34130 Mauguio;Mauguio (peri-Montpellier);saineouverte.com
Hippopotamus Antigone;Steakhouse chaine;hippo.antigone.de@hippopotamus-franchise.com;04 67 15 96 40;Esplanade de l'Europe Batiment D 34000 Montpellier;Antigone;hippopotamus.fr
Au Bureau Montpellier;Brasserie;2jps1@orange.fr;;Odysseum Montpellier;Odysseum;aubureaurestaurant.com
Les Fils a Maman;Francais retro;contact@lesfilsamaman.com;04 67 60 60 71;12 Rue du Petit Saint-Jean 34000 Montpellier;Ecusson;lesfilsamaman.com
La Part Des Anges;Bar tapas vin;contactslapartdesangesmontpellier@gmail.com;07 68 92 68 67;10 Rue Collot 34000 Montpellier;Ecusson;lapartdesangesmontpellier.com
Il Bar A Pizze;Pizzeria;contact@ilbarapizze.fr;06 07 39 61 65;290 Av. Theroigne de Mericourt 34000 Montpellier;Pompignane;ilbarapizze.fr
Basilic & Co;Pizzeria bio;montpellier@basilic-and-co.com;06 70 61 13 87;25 place Caroline Aigle 34000 Montpellier;Saint-Roch;basilic-and-co.com
