restaurant_name;cuisine_type;email;phone;address;website;query
Home Sushi;Restaurant de sushis;;04 48 18 08 87;4 Bd Vieussens, 34000 Montpellier;http://www.homesushi.fr/;pizzeria montpellier
Eden Pizza - Près d’arènes;Pizzeria;;07 45 04 20 32;277 Rue de l'Industrie, 34070 Montpellier;;pizzeria montpellier
Chez Valou, Les Souris Dansent;Restaurant;;06 64 12 96 74;6 Rue de la Vieille, 34000 Montpellier;https://chez-valou-les-souris-dansent-montpellier.fr/fr/services;pizzeria montpellier
Versione Originale;Pizzeria;;09 86 65 63 48;1 Av. Chancel, 34090 Montpellier;;pizzeria montpellier
PIZZA STREET;Pizzeria;;06 52 42 34 23;52 Rue du Faubourg du Courreau, 34000 Montpellier;http://www.pizzastreet.fr/;pizzeria montpellier
Big pizza;Pizzeria;;07 84 92 62 51;9 Rue de l'École de Pharmacie, 34000 Montpellier;https://bigpizza-montpellier.fr/;pizzeria montpellier
Tukizza Montpellier;Pizzas à emporter;;07 68 54 51 42;Pl. du Marché aux Fleurs, 34000 Montpellier;https://linktr.ee/tukizzamontpellier;pizzeria montpellier
Pizza Jules César | Livraison Pizza Montpellier;Pizzeria;;07 69 34 79 39;28 Rue Lamartine, 34070 Montpellier;https://de.cdn-website.com/414f0c2a10544e7894b25d95f6d9ff12/files/uploaded/Carte_2024_JULES_CESAR.pdf;pizzeria montpellier
Pizzeria la casa;Pizzas à emporter;;07 53 03 63 00;81 Rue du Faubourg Boutonnet, 34090 Montpellier;;pizzeria montpellier
L'OSTERIA;Bar;contact@etre-visible.local.fr;07 81 64 94 82;12 Rue de Candolle, 34000 Montpellier;https://www.osteria-pizzetta.fr/;pizzeria montpellier
IT - Italian Trattoria Montpellier;Restaurant italien;;04 67 56 34 65;2bis Rue de Verdun, 34000 Montpellier;https://restaurants.it-trattoria.fr/montpellier/?utm_source=google&utm_medium=organic&utm_campaign=mybusiness-website;pizzeria montpellier
Bambino Rocco restaurant italien Montpellier;Restaurant italien;;04 67 05 39 87;20 Rue de l'Aiguillerie, 34000 Montpellier;https://bambinorocco.com/;pizzeria montpellier
PIZZA STREET - AVENUE TOULOUSE;Pizzas à emporter;;04 99 51 61 96;41 Av. de Toulouse, 34070 Montpellier;;pizzeria montpellier
Don Camillo;Restaurant italien;;04 67 56 57 01;4 Rue de la Petite Loge, 34000 Montpellier;https://www.doncamillomontpellier.fr/menu;pizzeria montpellier
ANGELO PIZZERIA;Pizzeria;;04 67 71 69 36;2 Pl. du Nombre d'Or, 34000 Montpellier;https://thefork.fr/restaurant/angelo-pizzeria-r853070?cc=18174-54f&rwg_token=AFd1xnFnYtKmpufm_2mRUD9MYmR2qsfGkySKJSfXOpw04dzLk9iLMJ8oLvCZRNPDyfmOxFB2EIqArEM14jlxNqkWoNydNivJ0jOJLjdVrkU1tNvNw82eUXY%3D;pizzeria montpellier
Pizz’burg Avenue;Restaurant de hamburgers;khalidoo.34@hotmail.fr;04 67 20 27 57;Commercial Mas Drevon, 216 Bd Pedro de Luna, 34070 Montpellier;https://www.ubereats.com/fr/store/pizzburg-avenue/HQwiaE7nSii6QQc-OF332Q?diningMode=DELIVERY&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMklOT1ZJRSUyMExhYm9zdWQlMjAtJTIwTW9udHBlbGxpZXIlMjBQciVDMyVBOHMlMjBkJ0FyJUMzJUE4bmVzJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyQ2hJSnl5ejJQWmF2dGhJUnNKQU1MZmJ1d3BBJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMmdvb2dsZV9wbGFjZXMlMjIlMkMlMjJsYXRpdHVkZSUyMiUzQTQzLjU5MDk4MzclMkMlMjJsb25naXR1ZGUlMjIlM0EzLjg4MzAwNjclN0Q%3D;pizzeria montpellier
Volfoni Montpellier – Restaurant Italien Pizzeria & Cocktails;Restaurant italien;;04 99 64 87 45;Av. du Pirée, 34000 Montpellier;https://www.volfoni.fr/nos-restaurants/volfoni-antigone-montpellier?utm_source=google&utm_medium=organic&utm_campaign=mybusiness-website;pizzeria montpellier
Domino's Pizza Montpellier Sud;Pizzeria;;04 67 47 13 00;3 Av. de Toulouse, 34070 Montpellier;https://www.dominos.fr/?utm_source=google&utm_medium=local&utm_campaign=yext;pizzeria montpellier
Restaurant Italien, Pizzeria - Pizza Papa - Comédie;Pizzeria;;04 67 58 58 32;13 Pl. de la Comédie, 34000 Montpellier;https://www.pizzapapa.fr/carte/;pizzeria montpellier
L'Ovalino;Pizzeria;;04 99 53 07 30;965 Rue de Bugarel, 34070 Montpellier;https://lovalino.fr/;pizzeria montpellier
Rocco et sa mère;Restaurant italien;;04 67 57 35 03;8 Rue du Plan d'Agde, 34000 Montpellier;https://roccoetsamere.com/reserver/;pizzeria montpellier
O vesuvio;Restaurant italien;;06 18 91 67 66;16 Pl. du Nombre d'Or, 34000 Montpellier;;pizzeria montpellier
PIZZA LAB;Pizzeria;;09 78 81 27 83;2 Rue Jules Grevy, 34000 Montpellier;https://instagram.com/pizzalab_montpellier?igshid=OGQ5ZDc2ODk2ZA%3D%3D&utm_source=qr;pizzeria montpellier
Pizza Ross;Pizzeria;;06 66 58 27 66;14 Pl. de la Comédie, 34000 Montpellier;;pizzeria montpellier
Bisciù Pizzeria;Restaurant italien;;09 53 97 54 72;6 Rue Proudhon, 34090 Montpellier;http://www.xn--bisci-5ua.fr/;pizzeria montpellier
La Pizzaïère;Pizzeria;;04 11 75 01 96;1337 Av. de Maurin, 34070 Montpellier;https://www.lapizzaieremontpellier.fr/;pizzeria montpellier
PIZZA MARSALA;Restaurant;;09 52 54 54 22;20 Rue de la Méditerranée, 34070 Montpellier;http://pizza-marsala.fr/;pizzeria montpellier
TACOS & PIZZA;Pizzeria;;07 70 43 22 19;758 Av. du Maréchal Leclerc, 34000 Montpellier;https://www.ubereats.com/fr/store/tacos-%26-pizza/I6V7dmNrVDyxF0dIV8XW6A?diningMode=DELIVERY&sc=SEARCH_SUGGESTION;pizzeria montpellier
Brasserie du Théâtre;Restaurant;contact@brasseriedutheatre.fr;04 67 58 88 80;22 Bd Victor Hugo, 34000 Montpellier;http://www.brasseriedutheatre.fr/;brasserie montpellier
Le Dome;Brasserie;;04 67 92 66 70;2 Av. Georges Clemenceau, 34000 Montpellier;http://www.ledomemontpellier.fr/;brasserie montpellier
Les Bockale | Bar à bières - food & Brunch | Montpellier;Microbrasserie;;07 88 24 19 81;2 Rue de la République, 34000 Montpellier;https://bookings.zenchef.com/results?rid=375766&pid=1001;brasserie montpellier
Café de la Mairie - Restaurant brasserie à Montpellier;Restaurant;;04 67 60 94 18;14 Rue du Plan d'Agde, 34000 Montpellier;https://bookings.zenchef.com/results?rid=372902&pid=1001;brasserie montpellier
Brasserie Pompette;Restaurant;;06 19 44 33 58;117 Rue des États Généraux, 5 place de la révolution, 34000 Montpellier;https://www.instagram.com/brasserie_pompette/;brasserie montpellier
Broc Café;Brasserie;;09 70 97 87 37;2 Bd Henri IV, 34000 Montpellier;https://bookings.zenchef.com/results?rid=362410&pid=1001;brasserie montpellier
Microbrasserie La Barbote;Pub;;07 68 31 12 50;1 Rue des deux Ponts, 34000 Montpellier;https://www.microbrasserielabarbote.com/;brasserie montpellier
BISTROT L’ ODYSSÉE;Bar;;;11 Rue Frédéric Bazille, 34000 Montpellier;;brasserie montpellier
Chez Delagare - Brasserie Moderne;Restaurant;info@belaroia.fr;04 11 28 30 37;21 Rue Jules Ferry, 34000 Montpellier;https://belaroiahotel.fr/wp-content/uploads/2024/10/CARTE-CHEZ-DELAGARE-WEB.pdf;brasserie montpellier
Hopulus Brewpub;Bar;;;8 Rue Collot, 34000 Montpellier;https://www.facebook.com/hopulus/;brasserie montpellier
Le Réservoir;Bar;;09 74 64 15 25;55 Rue de Montels Saint-Pierre, 34070 Montpellier;https://linktr.ee/lereservoirmontpellier;brasserie montpellier
Brasserie des Halles;Brasserie;;;5 Pl. Alexandre Laissac, 34000 Montpellier;;brasserie montpellier
BRASSERIE LAISSAC;Brasserie;brasserie.laissac@gmail.com;04 67 57 72 10;9 Pl. Alexandre Laissac, 34000 Montpellier;https://www.facebook.com/profile.php?id=61557652253148;brasserie montpellier
Pousse Pas Mémé dans la Vigne;Caviste;devis.ppmv@gmail.com;04 48 27 05 75;10 Rue des Étuves, 34000 Montpellier;https://www.poussepasmeme.com/;brasserie montpellier
Le Paresseur;Restaurant français;;04 67 67 12 07;15 Rue Jules Latreilhe, 34000 Montpellier;https://leparesseur.fr/link/table-booking?location_id=5469555217508860031&generated_by_centralapp;brasserie montpellier
Brasserie Des Finances;Brasserie;;04 67 58 42 09;21 Bd Renouvier, 34000 Montpellier;https://www.facebook.com/brasseriedesfinances/menu/;brasserie montpellier
L'Acolyte;Restaurant;;04 67 66 03 43;1 Rue des Trésoriers de France, 34000 Montpellier;;brasserie montpellier
La BAF Brasserie Associative de Figuerolles;Brasserie;;;1 Rue de Claret, 34070 Montpellier;https://www.facebook.com/AssosLABAF;brasserie montpellier
Plein Sud;Bar à vin;pleinsud.montpellier@gmail.com;09 88 32 38 47;16 Rue de la Monnaie, 34000 Montpellier;https://www.pleinsud-montpellier.fr/;brasserie montpellier
LE GURU;Restaurant;;04 99 62 24 50;36 Rue de l'Argenterie, 34000 Montpellier;https://bonjourmenu.fr/view/-M_vguJlgd56L_K3LmwU/0?fbclid=IwAR2bSETQAoMUVfk8lwXA1npIKvkr4iGO7XbQ5rE3RIZfqmpjb1w8VUv0Oe8;brasserie montpellier
L'Accoudoir;Restaurant;contactlaccoudoir.montpellier@gmail.com;04 67 60 87 56;3 Rue du Plan d'Agde, 34000 Montpellier;https://laccoudoir-montpellier.fr/la-carte/;brasserie montpellier
Maison Marguerite - Restaurant à Montpellier;Restaurant;;04 67 02 17 89;2 Imp. Périer, 34000 Montpellier;https://maisonmarguerite34.fr/;brasserie montpellier
Brasserie Chez Boris;Restaurant français;contact@chezboris.com;04 67 02 82 38;17 Bd Sarrail, 34000 Montpellier;https://www.chezboris.com/cartes/;brasserie montpellier
COMME UN DIMANCHE SOUS LE FIGUIER Grillades à la braise /Montpellier;Restaurant de grillades;;04 67 60 60 41;15 Rue du Petit Saint-Jean, 34000 Montpellier;http://www.dimanchesouslefiguier.fr/;brasserie montpellier
Angus & Bacchus;Restaurant français;;04 67 55 79 57;4 Rue Diderot, 34000 Montpellier;https://angusetbacchus.fr/link/table-booking?location_id=5487699521934721039&generated_by_centralapp;brasserie montpellier
Brasserie L'escale Montpellier;Restaurant;contact@jscom.fr;04 34 00 25 51;9 Rue Alfred Bruyas, 34000 Montpellier;https://jscom.fr/LESCALE/index.html;brasserie montpellier
Brasserie Chez Régis;Brasserie;;04 67 60 53 95;3 Pl. Jean Jaurès, 34000 Montpellier;;brasserie montpellier
La Chistera;Restaurant;;04 67 55 39 51;2Bis Rue d'Obilion, 34000 Montpellier;https://www.la-chistera.com/7-reservation;brasserie montpellier
Les Caves du Courreau;Restaurant français;;04 67 84 09 20;42 Rue du Faubourg du Courreau, 34000 Montpellier;;brasserie montpellier
Restaurant Leclère, Cuisine d’arrivage.;Restaurant gastronomique;;04 67 68 96 85;8 Rue André Michel, 34000 Montpellier;http://www.restaurantleclere.com/;brasserie montpellier
CAFÉ MARCEAU;Restaurant;lcm34@outlook.fr;04 99 65 09 52;6 Cr Gambetta, 34000 Montpellier;https://cafe-marceau.webnode.fr/;brasserie montpellier
La Cigale;Restaurant;;09 74 97 46 40;7 Bd des Arceaux, 34000 Montpellier;https://www.lacigalemontpellier.fr/;brasserie montpellier
Le Bourdon;Restaurant;lebourdon.montpellier@gmail.com;04 48 79 64 64;35 Rue Saint-Guilhem, 34000 Montpellier;https://restaurant-le-bourdon-montpellier.jimdosite.com/;brasserie montpellier
MeNow Brunch & Healthy Cook;Restaurant;;06 58 46 42 01;6 Rue en Gondeau, 34000 Montpellier;;brasserie montpellier
Le jardin des Sens;Restaurant gastronomique;;04 99 66 18 18;Pl. de la Canourgue, 34000 Montpellier;https://thefork.fr/restaurant/le-jardin-des-sens-r845109?cc=18174-54f&rwg_token=AFd1xnGAlAFLNL8brBfEoe_mgaw6L9AtSDkWFHjLNXGWS8elj1S8s0csAUs0NIfZlQLQRN4445_LC5DmFq9WhqQNCQYgL6XNAC4LpAd0VzwXanQ_rCbfqt0%3D;brasserie montpellier
Le Boudoir Montpelliérain;Restaurant français;;04 67 10 79 49;190 Rue d'Argencourt, 34000 Montpellier;https://leboudoir-restaurant.fr/;brasserie montpellier
Le Bistrok Montpellier;Restaurant;bistrokmontpellier1@gmail.com;07 68 87 74 93;47 Rue de l'Aiguillerie, 34000 Montpellier;https://lebistrok.com/restaurant-montpellier/;brasserie montpellier
Le Couperet | Bar & Restaurant Smokehouse | Montpellier;Restaurant de grillades à l'américaine;;04 34 43 72 60;3 Rue des Teissiers, 34000 Montpellier;https://www.le-couperet-smokehouse-restaurant.fr/;brasserie montpellier
Le Café Joseph;Restaurant;;04 67 66 31 95;3 Pl. Jean Jaurès, 34000 Montpellier;https://bookings.zenchef.com/results?rid=372903&pid=1001;brasserie montpellier
BRASSERIE LEPIC;Bistro;brasserielepic@orange.fr;04 67 42 57 55;29 Av. Lepic, 34000 Montpellier;https://brasserie-lepic.eatbu.com/#menu;brasserie montpellier
AU LOUP Restaurant & Bar 🍴🍸🍻;Brasserie;;04 67 55 11 65;5 Pl. du Marché aux Fleurs, 34000 Montpellier;https://sundayapp.io/venues/144eed66-6af2-457a-9d9a-07ef64168e64/menus;brasserie montpellier
Les BerThoM Montpellier;Bar;;04 99 62 15 12;5 Rue Boussairolles, 34000 Montpellier;https://reservation.reserverunbar.fr/lieu/13873/les-berthom-montpellier;brasserie montpellier
La Bistrote;Restaurant français;;04 67 66 14 17;4 Rue Philippy, 34000 Montpellier;https://www.facebook.com/LaBistr0te/;brasserie montpellier
POKHAWAI POKE BAR - Meilleur poké bowl à Montpellier;Restaurant hawaïen;;04 49 07 35 16;1 Rue Levat, 34000 Montpellier;https://thefork.fr/restaurant/pokhawai-r668985?cc=18174-54f&rwg_token=AFd1xnGaGiEkkTa9qw2VqhEc7omIWrlzRSFDyYln5k3FGFxeT5O6Obf9XcwpKozy6vKs5pJlBr1G8KoGAUxPSe3n9He6DcMV7yx4MzRZ4S7l3Z3WN14CPX4%3D;brasserie montpellier
Restaurant La Rose de Damas;Restaurant syrien;;04 67 29 27 01;24 Rue Chaptal, 34000 Montpellier;;brasserie montpellier
La Grange;Restaurant français;;04 67 54 68 80;30 Rue Jean Jacques Rousseau, 34000 Montpellier;;brasserie montpellier
Les Garçons;Bar à tapas;;09 73 29 40 34;15 Rue des Sœurs Noires, 34000 Montpellier;https://reservation.laddition.com/booking/gRNiwBVlh;brasserie montpellier
Le Pat'Daniel's;Restaurant;;06 58 63 73 01;31 Rue de la Méditerranée, 34000 Montpellier;https://www.facebook.com/pages/Le-PatDaniels/868606219848732?fref=ts;brasserie montpellier
Les t'OCqués;Restaurant;;04 67 63 42 86;15 Rue Roucher, 34000 Montpellier;https://www.facebook.com/pages/category/French-Restaurant/Les-tOCqu%C3%A9s-941430415955522/;brasserie montpellier
Cafe Leon;Restaurant;;04 67 60 56 83;12 Rue du Plan d'Agde, 34000 Montpellier;;brasserie montpellier
Restaurant Le Montis - Bar à Cocktails - Montpellier centre;Restaurant;;04 48 78 07 93;14 Rue Jules Latreilhe, 34000 Montpellier;https://www.le-montis-restaurant-montpellier.fr/restaurant-tapas-burger-centre-ville-montpellier;brasserie montpellier
Les Castors - Bar à Jeux;Bar;contact@lescastors.fun;09 73 28 79 77;12 Rue des Trésorier de la Bourse, 34000 Montpellier;https://lescastors.fun/reservation;brasserie montpellier
Les Fils À Maman Montpellier;Restaurant français;;04 67 60 60 71;12 Rue du Petit Saint-Jean, 34000 Montpellier;https://bookings.zenchef.com/results?rid=351510&pid=1001;brasserie montpellier
Bar L'Elytre;Bar;;04 99 66 18 18;Pl. de la Canourgue, 34000 Montpellier;https://thefork.fr/restaurant/bar-l-elytre-richer-de-belleval-r845113?cc=18174-54f&rwg_token=AFd1xnGPIcgqAbW8_Mv8QNHBmmIs82CDjjoMi5do8kmihqwWu9-y-K7IjidOr0jtM_qt7JnvOGiT07AyGavbLonF3cCFuhmVWeNje9KtUGFPjjV_BGpSUlQ%3D;brasserie montpellier
Pastis Restaurant;Restaurant;;04 67 66 37 26;3 Rue Terral, 34000 Montpellier;https://thefork.fr/restaurant/pastis-restaurant-r803789?cc=18174-54f&rwg_token=AFd1xnFXtZvtZ08n0R2BK6QlydQ4wdlIbXyxzvEQnPcw-4NuWfWXV0FoqqYOhE9NoldTdV_Lw12GzUUZaiBtdDsyiIW3nxo_Ng%3D%3D;brasserie montpellier
Bistrot Rondelet;Restaurant;;06 89 72 07 85;1 Pl. Rondelet, 34000 Montpellier;;bistrot montpellier
Pinot Bistrot;Restaurant;;06 10 71 03 20;6 Rue du Petit Saint-Jean, 34000 Montpellier;https://www.instagram.com/pinot_bistrot_montpellier/;bistrot montpellier
Bistrot des Arceaux;Restaurant;;04 34 11 18 67;25 Rue Hippolyte, 34000 Montpellier;https://bistrotdesarceaux.fr/;bistrot montpellier
Bistrot Sainte Anne;Restaurant;contact@bistrot-sainte-anne.com;09 80 58 57 54;7 Pl. du Petit Scel, 34000 Montpellier;http://www.bistrot-sainte-anne.com/;bistrot montpellier
Bouillon Maurel;Restaurant;;06 80 84 54 07;3 Rue des Multipliants, 34000 Montpellier;;bistrot montpellier
Bistrot Umami Montpellier;Restaurant;;04 67 55 06 65;3 Pl. de la Canourgue, 34000 Montpellier;https://www.umami-cinquiemesaveur.com/carte-bistrot/;bistrot montpellier
Le Bistro Urbain;Restaurant;lebistrourbain@gmail.com;06 60 94 96 16;5 Rue Alexandre Cabanel, 34000 Montpellier;https://bistrourbain.com/;bistrot montpellier
MENJIA - Bistrot Canaille;Restaurant;;04 67 47 96 67;26 Rue Terral, 34000 Montpellier;https://www.menjia.fr/;bistrot montpellier
Chez Pinot;Bar à vin;;06 76 04 42 95;17 Rue des Sœurs Noires, 34000 Montpellier;;bistrot montpellier
Bistrot des musées;Restaurant;;06 11 81 77 13;22 Rue Jacques Cœur, 34000 Montpellier;https://www.bistrotdesmusees.fr/#prices;bistrot montpellier
Faim;Restaurant;faim.soifaussi@gmail.com;09 55 95 05 27;13 Rue Eugène Lisbonne, 34000 Montpellier;https://faimsoif.ft.restaurant/;bistrot montpellier
Le Jardin des Frangins - Restaurant Bistronomique avec Terrasse - Montpellier;Restaurant;;06 76 63 09 45;2 Rue des Loriots, 34000 Montpellier;https://thefork.fr/restaurant/le-jardin-des-frangins-r502445?cc=18174-54f&rwg_token=AFd1xnF0ZMOLK_iK3pMki_AvuwC_4uut3A5fpZC3teDfnpBdhP1_0wb6HcdOPOtf0rF3X1TVidGNAWu1eaMLXa8vpt-CifqWlaP-cuJ-gC0Rl0TlBEPxmPA%3D;bistrot montpellier
Bistro La Canourgue;Restaurant;;04 99 66 18 18;Pl. de la Canourgue, 34000 Montpellier;https://thefork.fr/restaurant/le-bistrot-la-canourgue-r845107?cc=18174-54f&rwg_token=AFd1xnG6Q3kyCJibk9SETc3j-FGtzdA9h8gBYFZqqLKUNDFGwFdkdcQwMatJFDCW9_mKSUxigeWrUGWTPWZUsJg9R74ipqyB9y22bLiAXN_GT4GjRyhkQr0%3D;bistrot montpellier
Bistrot Gilles;Bistro;;04 67 58 49 46;2 Pl. Saint-Come, 34000 Montpellier;;bistrot montpellier
Les Enfants Rouges;Restaurant de tapas;;06 62 13 14 12;3 Plan Duché, 34000 Montpellier;http://www.lesenfantsrouges.fr/les-vins-2/;bistrot montpellier
LAS TAPAS;Restaurant familial;;06 32 97 92 36;6 Rue Jules Latreilhe, 34000 Montpellier;https://www.las-tapas.fr/;bistrot montpellier
Coppia;Restaurant;;06 81 99 04 04;5 Pl. du Petit Scel, 34000 Montpellier;https://www.instagram.com/coppia.montpellier/;bistrot montpellier
Restaurant l'Angelus;Restaurant;;;3 Rue de l'Ancien Courrier, 34000 Montpellier;https://restaurant-angelus.fr/menu-angelus/;bistrot montpellier
Le Bistro Romain Montpellier;Restaurant;;04 67 22 44 14;Espl. de l'Europe, 34000 Montpellier;https://bistro-romain-montpellier.com/;bistrot montpellier
Les Canons | Restaurant Montpellier;Restaurant;;04 99 61 82 09;28 Rue de Candolle, 34000 Montpellier;https://octotable.com/book/restaurant/125782/welcome;bistrot montpellier
Comptoir de l'Arc;Restaurant;;04 67 60 30 79;Pl. de la Canourgue, 34000 Montpellier;https://comptoir-de-l-arc.tastycloud.menu/7c04c05b878cce242b9772c434e54b99c0b8f6ea4db2b4eaa477d814841f0cf4/roomdirectory/booking/17919;bistrot montpellier
Rosemarie - Restaurant Méditerranéen Montpellier;Restaurant méditerranéen;;;3 Rue des Sœurs Noires, 34000 Montpellier;https://bookings.zenchef.com/results?rid=363410&pid=1001;bistrot montpellier
le victoria;Restaurant;;04 48 78 60 29;3 Pl. Castellane, 34000 Montpellier;https://form.jotform.com/242043539570354;bistrot montpellier
Les Bistronomes;Restaurant;;04 67 83 28 67;22 Pl. du Nombre d'Or, 34000 Montpellier;https://www.facebook.com/profile.php?id=100063670505774;bistrot montpellier
Buonanotte;Restaurant méditerranéen;;04 67 67 21 61;25 Rue de l'Université, 34000 Montpellier;http://buonanotte.fr/;bistrot montpellier
L'Alchimiste;Restaurant;;04 67 60 93 53;19 Rue Roucher, 34000 Montpellier;https://bookings.zenchef.com/results?rid=357180&pid=;bistrot montpellier
Brasserie le BG;Restaurant;brasseriebg.sj@gmail.com;04 11 75 21 07;180 Rue de Galata, 34000 Montpellier;https://www.bg-restaurant.fr/menus-carte/#menu-447048;bistrot montpellier
Café Pitot;Bar;;07 49 89 46 47;2 Place d'Aviler, 34000 Montpellier;https://sundayapp.io/venues/98dd56f7-20bf-443d-b957-994bb8752035/tables/00000000-2c94-4a90-b7d8-b172d1e191af?scanId=url-shortener_xFIOY8Byjqy6;bistrot montpellier
Times - Bar à Vins Montpellier;Bar;;04 67 12 00 02;7 Rue des Teissiers, 34000 Montpellier;;bistrot montpellier
Bar - Brasserie Les Salins;Brasserie;;04 67 29 57 89;18 Rue Emile Zola, 34000 Montpellier;;bistrot montpellier
Chupinazo;Restaurant;;09 53 63 05 89;2 Pl. Saint-Come, 34000 Montpellier;;bistrot montpellier
