restaurant_name;cuisine_type;email;phone;address;city;source
La Creperie de la Comedie;Creperie;bk.comedie@gmail.com;09 75 26 48 87;12 place de la Comedie 34000 Montpellier;Comedie;montpellier-contacts-v2.csv
Braise Cave et Table;Grillades feu de bois caviste;decouverteduvin@gmail.com;04 99 62 64 25;42 Avenue Saint-Lazare 34000 Montpellier;Beaux-Arts;montpellier-contacts-v2.csv
Traiteur Germain;Traiteur;traiteurgermain@traiteurgermain.com;04 67 04 88 86;996 Rue de la Croix de Lavit 34090 Montpellier;Hopitaux-Facultes;montpellier-contacts-v2.csv
Brasserie du Palais;Brasserie;brasseriedupalais34@hotmail.com;04 67 72 32 82;515 Avenue de la Monnaie 34170 Castelnau-le-Lez;Castelnau-le-Lez;montpellier-contacts-v2.csv
Les Chataigniers;Hotel restaurant;leschataigniers34740@gmail.com;04 67 70 20 16;613 Route Departementale Av. de Montpellier 34740 Vendargues;Vendargues (peri-Montpellier);montpellier-contacts-v2.csv
Le Mazerand;Gastronomique;info@le-mazerand.com;04 67 64 82 10;Mas de Causse CD 172 34970 Lattes;Lattes;montpellier-contacts-v2.csv
Le Chalet Chamoniard;Francais traditionnel;chaletchamoniard@hotmail.fr;04 67 64 03 73;Avenue Marcel Pagnol 34970 Lattes;Lattes;montpellier-contacts-v2.csv
L'Oxalis;Francais;oxalis2@live.fr;04 99 54 57 01;Lattes 34970;Lattes;montpellier-contacts-v2.csv
Aux Deux Amis;Francais;contact@aux-deux-amis.fr;06 19 07 11 86;Rue des Yeuses 34970 Lattes;Lattes;montpellier-contacts-v2.csv
Le Patio Lattes;Bar restaurant;barmusicalpatio@gmail.com;04 67 42 07 48;1 Allee Saint Pierre Route de Palavas 34970 Lattes;Lattes;montpellier-contacts-v2.csv
Le Mas de Couran;Restaurant bar club;lemasdecouran@gmail.com;04 67 65 57 57;Chemin de Soriech 34970 Lattes;Lattes;montpellier-contacts-v2.csv
L'Effet Jardin;Grillades feu de bois;effetjardin@sfr.fr;04 67 22 40 17;330 Chemin de Soriech 34970 Lattes;Lattes;montpellier-contacts-v2.csv
La Jalade;Francais fait maison;clubhouselajalade@gmail.com;06 75 19 22 66;2 Rue de la Jalade 34000 Montpellier;Hopitaux-Facultes;montpellier-contacts-v2.csv
La Marine du Pecheur;Poissons fruits de mer;lucaslouna@yahoo.fr;04 67 68 00 05;1 Quai Paul Cunq 34250 Palavas-les-Flots;Palavas-les-Flots;montpellier-region-contacts.csv
Le Pas Sage;Gastronomique mediterraneen;contact@lepassagepalavas.fr;04 67 68 23 96;Port de plaisance 34250 Palavas-les-Flots;Palavas-les-Flots;montpellier-region-contacts.csv
L'Artimon;Gastronomique mediterraneen;direction@lartimonpalavas.com;04 67 68 45 02;Bassin du Port de Plaisance Rive-Droite 34250 Palavas-les-Flots;Palavas-les-Flots;montpellier-region-contacts.csv
Le Saint-Georges;Francais traditionnel;restaurantlestgeorges@orange.fr;04 67 68 31 38;4 Boulevard Marechal Foch 34250 Palavas-les-Flots;Palavas-les-Flots;montpellier-region-contacts.csv
Le Phare;Poissons fruits de mer;restaurantlepharepalavas@gmail.com;04 67 68 61 16;Place de la Mediterranee 34250 Palavas-les-Flots;Palavas-les-Flots;montpellier-region-contacts.csv
La Guinguette du Ponant;Guinguette bord de mer;henridupre@live.fr;04 67 56 02 48;La Grande Motte;La Grande Motte;montpellier-region-contacts.csv
Le Sud Bistrot Chic;Bistrot mediterraneen;lesud.bistrotchic@yahoo.com;04 67 66 39 01;358 Avenue du Couchant 34280 La Grande Motte;La Grande Motte;montpellier-region-contacts.csv
Effet Mer;Francais contemporain;info@effetmer.com;07 87 02 98 40;Route des Plages Le Grand Travers 34280 La Grande Motte;La Grande Motte;montpellier-region-contacts.csv
La Petite Plage;Bar restaurant cocktails;lapetiteplage34@gmail.com;04 48 48 04 98;Centre Commercial Le Neptune Place Paul Valery 34280 La Grande Motte;La Grande Motte;montpellier-region-contacts.csv
Hotel La Plage Restaurant;Hotel restaurant mediterraneen;contact@hotellaplage-grandemotte.com;04 67 29 13 13;La Grande Motte;La Grande Motte;montpellier-region-contacts.csv
Orata et Le Tamaris;Hotel restaurant thalasso;restaurant@thalasso-grandemotte.com;04 67 29 77 05;La Grande Motte;La Grande Motte;montpellier-region-contacts.csv
Le Skipper Carnon;Bar restaurant glacier;contact@leskippercarnon.fr;;Port de Carnon 34130 Mauguio;Carnon;montpellier-region-contacts.csv
Coeur des Sables;Bistronomique bord de mer;contact@coeurdessables.com;04 67 85 99 00;8 Avenue Grassion Cibrand 34130 Carnon Plage;Carnon;montpellier-region-contacts.csv
Le Trident;Terre et mer;letrident.restaurant@gmail.com;04 67 50 63 55;239 rue de l'Etang de l'Or Carnon Plage 34130 Mauguio;Carnon;montpellier-region-contacts.csv
Oustau Camarguen;Hotel restaurant camargue;oustaucamarguen@orange.fr;04 66 51 51 65;3 Route des Marines 30240 Le Grau-du-Roi;Le Grau-du-Roi;montpellier-region-contacts.csv
Le Spinaker;Gastronomique hotel spa;contact@spinaker.com;04 66 53 36 37;Voie de la Pointe du Mole Port Camargue 30240 Le Grau-du-Roi;Le Grau-du-Roi;montpellier-region-contacts.csv
Le Palangre;Poissons fruits de mer;palangre@orange.fr;04 66 51 76 30;56 Quai General de Gaulle 30240 Le Grau-du-Roi;Le Grau-du-Roi;montpellier-region-contacts.csv
Casa Toro Luna;Espagnol tapas;contact@casatoroluna.fr;;Place Saint Louis 30220 Aigues-Mortes;Aigues-Mortes;montpellier-region-contacts.csv
L'Atelier de Nicolas;Bistronomique fusion;latelierdenicolas@live.fr;04 34 28 04 84;28 rue Alsace Lorraine 30220 Aigues-Mortes;Aigues-Mortes;montpellier-region-contacts.csv
Le Chantemer;Poissons fruits de mer;sylvain@lechantemer.com;04 67 46 01 75;16 Promenade J.B. Marty 34200 Sete;Sete;montpellier-region-contacts.csv
La Calanque;Poissons fruits de mer;restaurantlacalanquesete@gmail.com;04 67 74 28 37;17 Quai General Durand 34200 Sete;Sete;montpellier-region-contacts.csv
La Peniche;Mediterraneen poissons;contact@restaurant-lapeniche.fr;04 67 48 64 13;1 Quai des Moulins 34200 Sete;Sete;montpellier-region-contacts.csv
L'Essentiel Sete;Mediterraneen bord de mer;lessentiel34200@orange.fr;04 67 51 15 40;292 Promenade du Lido 34200 Sete;Sete;montpellier-region-contacts.csv
La Coquerie;Gastronomique mediterraneen;restaurantlacoquerie@gmail.com;06 47 06 71 38;1 Chemin du Cimetiere Marin 34200 Sete;Sete;montpellier-region-contacts.csv
Le Grand Hotel de Sete - Quai 17;Gastronomique hotel;info@legrandhotelsete.com;04 67 74 71 77;17 Quai du Marechal de Lattre de Tassigny 34200 Sete;Sete;montpellier-region-contacts.csv
In-Fine;Gastronomique francais;infine.restaurant@gmail.com;04 67 24 97 14;2 Rue de l'Hotel de Ville 34110 Frontignan;Frontignan;montpellier-region-contacts.csv
L'Endroit Bar Restaurant Frontignan;Bar restaurant;helenadebrito64@gmail.com;06 33 75 98 87;3 Avenue Vauban 34110 Frontignan;Frontignan;montpellier-region-contacts.csv
Le Comptoir des Compagnons;Francais insertion;contact@cdm34.org;04 67 50 49 88;Presqu'ile de Maguelone 34750 Villeneuve-les-Maguelone;Villeneuve-les-Maguelone;montpellier-region-contacts.csv
Le Petit Troc;Francais traditionnel;defilsendelices@gmail.com;04 67 27 88 13;36 Place de l'Eglise 34750 Villeneuve-les-Maguelone;Villeneuve-les-Maguelone;montpellier-region-contacts.csv
Poz Pasta;Italien pates fraiches;Pozpasta@gmail.com;04 67 17 18 08;9 Rue Robert Schuman 34430 Saint-Jean-de-Vedas;Saint-Jean-de-Vedas;montpellier-region-contacts.csv
Espada;Buffet francais;espada.contact@gmail.com;04 67 17 48 62;Allee Pierre Lazareff 34430 Saint-Jean-de-Vedas;Saint-Jean-de-Vedas;montpellier-region-contacts.csv
Le Cartel des Saveurs;Francais gastronomique;lecarteldessaveurs@hotmail.fr;04 67 55 62 59;3 Rue Jean Monnet 34830 Clapiers;Clapiers;montpellier-region-contacts.csv
Le Wan;Asiatique;contact@lewanlunel.com;04 49 07 96 88;114 Cours Gabriel Peri 34400 Lunel;Lunel;montpellier-region-contacts.csv
Mon Auberge;Hotel restaurant;resa@monauberge.com;04 67 71 01 62;RN 113 Pont de Lunel 34400 Lunel;Lunel;montpellier-region-contacts.csv
Le Disini;Gastronomique hotel spa;contact@disini-hotel.com;04 67 41 97 86;1 Rue des Carrieres 34160 Castries;Castries (peri-Montpellier);montpellier-region-contacts.csv
Hotel Richer de Belleval;Gastronomique Jardin des Sens;contact@hotel-richerdebelleval.com;04 99 66 18 18;Place de la Canourgue 34000 Montpellier;Ecusson;montpellier-region-contacts.csv
JOST Hotel Restaurant Gabie;Hotel restaurant rooftop;contact@jost-hotel-montpellier.com;04 12 05 19 25;50 Rue Isabelle Eberhardt 34000 Montpellier;Saint-Roch;montpellier-region-contacts.csv
Empanadas Club Marche du Lez;Argentin empanadas;montpellier2@empanadasclub.com;;Marche du Lez 1348 avenue Raymond Dugrand 34000 Montpellier;Halles du Lez;montpellier-region-contacts.csv
Restaurant Alexandre;Gastronomique;contact@restaurant-alexandre.com;04 67 56 63 63;Esplanade Maurice Justin 34280 La Grande Motte;La Grande Motte;montpellier-region-contacts.csv
Nassau;Poissons fruits de mer;restolegrandbleu@orange.fr;04 67 56 60 97;La Grande Motte;La Grande Motte;montpellier-region-contacts.csv
La Table du Grau;Francais traditionnel fait maison;contact@latable-dugrau.fr;;Le Grau-du-Roi;Le Grau-du-Roi;montpellier-region-contacts.csv
Le Provencal;Hotel restaurant traditionnel;contact@leprovencal-legrauduroi.com;04 66 51 41 68;Le Grau-du-Roi;Le Grau-du-Roi;montpellier-region-contacts.csv
La Camargue Restaurant;Traditionnel camargue;contact@lacamarguerestaurant.com;04 66 53 60 67;19 Rue de la Republique 30220 Aigues-Mortes;Aigues-Mortes;montpellier-region-contacts.csv
Le Saint Louis Hotel Restaurant;Hotel restaurant camargue;contact@lesaintlouis.fr;04 66 53 72 68;10 Rue Amiral Courbet 30220 Aigues-Mortes;Aigues-Mortes;montpellier-region-contacts.csv
The Marcel;Bistronomique halles;contact@the-marcel.fr;06 07 94 77 01;5 Rue Lazare Carnot 34200 Sete;Sete;montpellier-region-contacts.csv
Le Petit Bistrot Sete;Francais bord de mer;contact@lepetitbistrotsete.com;04 99 02 43 89;14 Corniche de Neuburg 34200 Sete;Sete;montpellier-region-contacts.csv
Restaurant MG;Mediterraneen poissons;contact@restaurant-mg.fr;07 82 62 97 98;Zone Technique du Port 34110 Frontignan;Frontignan;montpellier-region-contacts.csv
La Grange Palavas;Francais traditionnel;contact@restolagrange-palavas.fr;04 67 68 25 01;14 Avenue de la Gare Albert Dubout 34250 Palavas-les-Flots;Palavas-les-Flots;montpellier-region-contacts.csv
O Bon Vivre;Poissons panoramique;contact@o-bon-vivre-palavas.fr;04 49 07 10 87;25 Quai Paul Cunq 34250 Palavas-les-Flots;Palavas-les-Flots;montpellier-region-contacts.csv
Les Pieds dans l'O;Plage restaurant;contact@lespiedsdanslopalavas.fr;;Rive droite 34250 Palavas-les-Flots;Palavas-les-Flots;montpellier-region-contacts.csv
Wine Note;Bar restaurant festif;contact@winenote-restaurant.com;04 67 16 80 82;Parc d'Activites Aftalion 34670 Baillargues;Baillargues;montpellier-region-contacts.csv
Du Cote de Chez Eux;Francais bistronomique;contact@pmc-restaurant-lunel.fr;;Lunel-Viel pres de Baillargues;Lunel-Viel;montpellier-region-contacts.csv
L'Ambrussum;Bistronomique tapas;contact@lambrussum.com;;Villetelle 34400;Vendargues (peri-Lunel);montpellier-region-contacts.csv
Le B12;Bistronomique mediterraneen;contact@leb12.com;;Zone de Vendargues;Vendargues;montpellier-region-contacts.csv
L'Escampe;Francais traditionnel;contact@lescampe-restaurant-lunel.com;;2 Avenue de la Chicanette 34400 Saturargues;Lunel (peri);montpellier-region-contacts.csv
Camele Oh Lunel;Brasserie grill burger;contact@cameleoh.fr;04 67 71 05 06;C Commercial les Portes de la Mer 34400 Lunel;Lunel;montpellier-region-contacts.csv
La Croisee;Francais traditionnel;contact@restaurantpatiolacroisee.fr;;1 Avenue de l'Europe 34830 Clapiers;Clapiers;montpellier-region-contacts.csv
Les Deux Berets Grabels;Pizzeria artisanale;contact@lesdeuxberets.fr;07 66 81 74 91;Grabels;Grabels;montpellier-region-contacts.csv
Les Deux Berets Saint-Jean-de-Vedas;Pizzeria artisanale;sjv@lesdeuxberets.fr;07 82 78 55 06;10 Route de Beziers 34430 Saint-Jean-de-Vedas;Saint-Jean-de-Vedas;montpellier-region-contacts.csv
La Table des Copains;Francais;contact@latabledescopains-jacou.fr;;5 Avenue de Vendargues 34830 Jacou;Jacou;montpellier-region-contacts.csv
L'Assiette de Jacou;Francais;contact@lassietedejacou.fr;04 67 58 08 04;18 Rue Louis Breguet 34830 Jacou;Jacou;montpellier-region-contacts.csv
Hotel Neptune Restaurant;Hotel restaurant;contact@hotel-neptune.fr;;Carnon Plage 34130 Mauguio;Carnon;montpellier-region-contacts.csv
Le Goat des Hotes;Francais traditionnel hotel;contact@legoutdeshotes.fr;04 67 48 15 34;Frontignan;Frontignan;montpellier-region-contacts.csv
La Chapelle;Francais;contact@lachapelle-vlm.fr;04 67 07 95 80;Villeneuve-les-Maguelone;Villeneuve-les-Maguelone;montpellier-region-contacts.csv
Table d'Oc;Buffet a volonte;contact@restauranttabledoc.com;;Villeneuve-les-Maguelone;Villeneuve-les-Maguelone;montpellier-region-contacts.csv
Lo Motas;Bar lounge restaurant;contact@lo-motas-lgm.fr;07 69 59 61 65;La Grande Motte;La Grande Motte;montpellier-region-contacts.csv
L'Eden Restaurant;Restaurant lounge;contact@leden-restaurant.fr;04 99 62 94 79;197 Place de l'Epi 34280 La Grande Motte;La Grande Motte;montpellier-region-contacts.csv
La Cachette de Mame;Poissons fruits de mer;contact@la-cachette-de-mame.fr;;36 Quai General de Gaulle 30240 Le Grau-du-Roi;Le Grau-du-Roi;montpellier-region-contacts.csv
Le Bistrot du Port;Traditionnel port;contact@bistrotduport.fr;04 66 53 09 03;13 Quai Laperouse Port Camargue 30240 Le Grau-du-Roi;Le Grau-du-Roi (Port-Camargue);montpellier-region-contacts.csv
Le Dauphin Grau-du-Roi;Poissons fruits de mer;contact@ledauphin-grauduroi.fr;04 66 53 91 44;48 Quai General de Gaulle 30240 Le Grau-du-Roi;Le Grau-du-Roi;montpellier-region-contacts.csv
Cafe de Bouzigues;Bistrot brasserie provencal;contact@cafedebouzigues.fr;04 66 53 93 95;7 Rue Pasteur 30220 Aigues-Mortes;Aigues-Mortes;montpellier-region-contacts.csv
La Barque Bleue;Plage restaurant poissons;contact@labarquebleue-sete.fr;;27 Route Corniche de Neuburg 34200 Sete;Sete;montpellier-region-contacts.csv
Le Grand Bleu;Poissons fruits de mer;contact@legrandbleu-sete.fr;;15 Quai General Durand 34200 Sete;Sete;montpellier-region-contacts.csv
Paris Mediterranee;Poissons traditionnel;contact@paris-mediterranee.fr;;47 Rue Pierre Semard 34200 Sete;Sete;montpellier-region-contacts.csv
La Marine Sete;Poissons brasserie port;contact@lamarine-resto.fr;06 12 17 54 04;29 Quai General Durand 34200 Sete;Sete;montpellier-region-contacts.csv
O Loup Thau Quai;Poissons fruits de mer;contact@oloupthauquai.fr;09 60 45 29 62;Port de plaisance Quai Robert Alary 34110 Frontignan;Frontignan;montpellier-region-contacts.csv
Va Bene Palavas;Pizzeria;contact@vabene-palavas.fr;04 67 68 45 88;5 Boulevard Marechal Joffre 34250 Palavas-les-Flots;Palavas-les-Flots;montpellier-region-contacts.csv
El Fuego Palavas;Restaurant grillades;contact@elfuego-palavas.fr;04 67 68 38 68;Palavas-les-Flots;Palavas-les-Flots;montpellier-region-contacts.csv
Le Restaurant Palavas;Francais traditionnel;contact@lerestaurant-palavas.fr;04 67 68 00 01;Palavas-les-Flots;Palavas-les-Flots;montpellier-region-contacts.csv
Nouba Carnon;Cuisine festive fusion;direction-nouba@hotmail.com;07 52 73 66 57;Place Saint-Marc Port Carnon 34130 Mauguio;Carnon;montpellier-region-contacts.csv
Le Petit Lezard;Poissons fruits de mer;contact@petit-lezard.fr;04 67 50 55 55;63 Avenue Etang du Grec 34250 Palavas-les-Flots;Palavas-les-Flots;montpellier-region-contacts.csv
Mas de Lafeuillade;Bistronomique hotel charme;contact@mas-de-lafeuillade.com;06 77 18 29 69;281 Rue Fra Angelico 34000 Montpellier;Port Marianne;montpellier-region-contacts.csv
L'O3 Brasserie Castries;Brasserie;contact@brasserie-castries.fr;;Castries;Castries (peri-Montpellier);montpellier-region-contacts.csv
L3 Brasserie du Midi-Teyranais;Brasserie;contact@restaurant-midi-teyranais.fr;;1 Avenue de Vendargues 34820 Teyran;Le Cres (peri);montpellier-region-contacts.csv
Niam By Pith;Asiatique fusion;contact@niambypith.fr;;16 Rue Fernand Soubeyran 34830 Jacou;Jacou;montpellier-region-contacts.csv
Les Halles 610 Jacou;Food hall;contact@halles610.fr;;6-10 Rue Louis Breguet 34830 Jacou;Jacou;montpellier-region-contacts.csv
La Salle a Manger Grabels;Gastronomique;contact@lasalleamanger-grabels.fr;;Grabels;Grabels;montpellier-region-contacts.csv
La Casa Pizzeria Grabels;Pizzeria;contact@lacasa-grabels.fr;;Grabels;Grabels;montpellier-region-contacts.csv
Le Plaza Lunae;Francais traditionnel;contact@plazalunae.fr;04 99 54 62 02;Lunel;Lunel;montpellier-region-contacts.csv
Derriere l'Eglise;Bistronomique;contact@derriereleglise-lunel.fr;;Lunel;Lunel;montpellier-region-contacts.csv
La Goulue;Bistronomique;contact@lagoulue-aiguesmortes.fr;;Aigues-Mortes;Aigues-Mortes;montpellier-region-contacts.csv
Le Restoro;Fruits de mer;contact@lerestoro.fr;04 66 51 02 56;520 Avenue du Palais de la Mer 30240 Le Grau-du-Roi;Le Grau-du-Roi;montpellier-region-contacts.csv
Quai 54;Poissons mediterraneen;contact@quai54-grauduroi.fr;;56 Quai du General de Gaulle 30240 Le Grau-du-Roi;Le Grau-du-Roi;montpellier-region-contacts.csv
Le Vivier;Poissons fruits de mer;contact@levivier-grauduroi.fr;;Le Grau-du-Roi;Le Grau-du-Roi;montpellier-region-contacts.csv
La Table de Laura;Francais gastronomique;contact@latabledelaura.fr;04 67 74 30 15;Sete;Sete;montpellier-region-contacts.csv
L'Estacade;Poissons traditionnel;contact@lestacade-sete.fr;;Sete;Sete;montpellier-region-contacts.csv
Le Passage Sete;Poissons fruits de mer;contact@lepassage-sete.fr;;Sete;Sete;montpellier-region-contacts.csv
Au Poisson Bleu;Poissons fruits de mer;contact@aupoissonbleu-sete.fr;;Sete;Sete;montpellier-region-contacts.csv
La Table de l'Oustau;Traditionnel camargue;contact@oustaucamarguen.com;04 66 51 51 65;Le Grau-du-Roi;Le Grau-du-Roi;montpellier-region-contacts.csv
Le Petit Nice;Restaurant port;contact@lepetitnicesete.fr;;Port Camargue 30240 Le Grau-du-Roi;Le Grau-du-Roi (Port-Camargue);montpellier-region-contacts.csv
Plein Sud La Grande Motte;Mediterraneen;contact@pleinsud-lgm.fr;;La Grande Motte;La Grande Motte;montpellier-region-contacts.csv
Cote Sud La Grande Motte;Mediterraneen;contact@cotesud-lgm.fr;;La Grande Motte;La Grande Motte;montpellier-region-contacts.csv
Le Repaire;Brasserie;contact@lerepairelgm.fr;;La Grande Motte;La Grande Motte;montpellier-region-contacts.csv
Le Petit Nice Passedat;Gastronomique 3 etoiles;contact@passedat.fr;04 91 59 25 92;17 Rue des Braves 13007;Marseille;phase2-contacts.csv
Chez Dede;Pizzeria;pizzeriachezdedemarseille@gmail.com;;;Marseille;phase2-contacts.csv
L'Enclos des Saveurs;Gastronomique;contact@restaurant-nimes.fr;;;Nimes;phase2-contacts.csv
Le Chabanais;Francais;lechabanaisnimes@gmail.com;;;Nimes;phase2-contacts.csv
Il Ristorante Nimes;Italien;contact.nimes@ilristorante.fr;;;Nimes;phase2-contacts.csv
Le Carre d'Art;Francais;restaurant.lecarredart@gmail.com;;;Nimes;phase2-contacts.csv
Au Goustous;Catalan;b.aragon66@orange.fr;06 19 89 41 76;5 Rue du Theatre 66000;Perpignan;phase2-contacts.csv
Artapas;Tapas;artapas66@gmail.com;04 68 53 15 06;28 bd Georges Clemenceau 66000;Perpignan;phase2-contacts.csv
L'Atrium;Gastronomique;toulouse@restaurantatrium.fr;05 61 61 19 04;Place du Capitole;Toulouse;phase3-4-contacts.csv
Le Bouillon Capitole;Brasserie;contact@bouilloncapitole.fr;;1 Place du Capitole;Toulouse;phase3-4-contacts.csv
Le 7 Restaurant;Gastronomique;contact@le7restaurant.com;05 64 31 05 40;Cite du Vin;Bordeaux;phase3-4-contacts.csv
Benoit Paris;Bistrot parisien;restaurant.benoit@ducasse-paris.com;;20 rue Saint-Martin 75004;Paris;phase3-4-contacts.csv
San Francisco;Restaurant;restaurantsanfrancisco16@gmail.com;;1 rue Mirabeau;Paris;phase3-4-contacts.csv
Semilla;Bistronomique;semillaparisrestaurant@gmail.com;;54 Rue de Seine 75006;Paris;phase3-4-contacts.csv
Chez France Bistrot;Bistrot;contact@chezfrancebistrot.com;;;Paris;phase3-4-contacts.csv
Le Fabuleux Brasserie;Restaurant;lefabuleux34@gmail.com;07 66 82 75 65;38 Av. Georges Clemenceau, 34000 Montpellier;Montpellier;gmaps-montpellier-scraping
Le Bourdon;Restaurant;lebourdon.montpellier@gmail.com;04 48 79 64 64;35 Rue Saint-Guilhem, 34000 Montpellier;Montpellier;gmaps-montpellier-scraping
Restaurant Aliro By Gary-Bobo Jean;Restaurant gastronomique;contact@aliro-restaurant.com;04 99 67 10 39;17 Rue Saint-Firmin, 34000 Montpellier;Montpellier;gmaps-montpellier-scraping
GABIE RESTAURANT & BRUNCH MONTPELLIER;Restaurant;hello@jostmontpellier.com;04 12 05 19 25;50 Rue Isabelle Eberhardt, 34000 Montpellier;Montpellier;gmaps-montpellier-scraping
ESENCIA, restaurant et cave à vins à Montpellier;Restaurant;contact@esenciamontpellier.com;09 79 39 32 28;11 Rue du Cheval Vert, 34000 Montpellier;Montpellier;gmaps-montpellier-scraping
Angus & Bacchus;Restaurant français;contact@groupe-atmosphere.fr;04 67 55 79 57;4 Rue Diderot, 34000 Montpellier;Montpellier;gmaps-montpellier-scraping
Les t'OCqués;Restaurant;service@apropos-store.com;04 67 63 42 86;15 Rue Roucher, 34000 Montpellier;Montpellier;gmaps-montpellier-scraping
Le 17.45 Montpellier - Planches à composer;Restaurant français;contact@le17-45.fr;09 55 17 91 81;6 Pl. Pétrarque, 34000 Montpellier;Montpellier;gmaps-montpellier-scraping
Les Fils À Maman Montpellier;Restaurant français;surpriseparty@lesfilsamaman.com;04 67 60 60 71;12 Rue du Petit Saint-Jean, 34000 Montpellier;Montpellier;gmaps-montpellier-scraping
French Kiss Montpellier Restaurant;Restaurant;contact@eklohotels.com;04 11 93 20 21;4 Rue Jules Ferry, 34000 Montpellier;Montpellier;gmaps-montpellier-scraping
Le Dodo Blanc Montpellier;Restaurant créole;ledodoblanc.mtp@barbier-restaurateurs.com;04 67 34 06 24;11 Rue du Faubourg de la Saunerie, 34000 Montpellier;Montpellier;gmaps-montpellier-scraping
