restaurant_name;cuisine_type;email;phone;address;neighborhood;source
Camele Oh Lunel;Brasserie grill burger;contact@cameleoh.fr;04 67 71 05 06;C Commercial les Portes de la Mer 34400 Lunel;Lunel;cameleoh.fr
La Croisee;Francais traditionnel;contact@restaurantpatiolacroisee.fr;;1 Avenue de l'Europe 34830 Clapiers;Clapiers;restaurantpatiolacroisee.fr
Les Deux Berets Grabels;Pizzeria artisanale;contact@lesdeuxberets.fr;07 66 81 74 91;Grabels;Grabels;lesdeuxberets.fr
Les Deux Berets Saint-Jean-de-Vedas;Pizzeria artisanale;sjv@lesdeuxberets.fr;07 82 78 55 06;10 Route de Beziers 34430 Saint-Jean-de-Vedas;Saint-Jean-de-Vedas;lesdeuxberets.fr
La Table des Copains;Francais;contact@latabledescopains-jacou.fr;;5 Avenue de Vendargues 34830 Jacou;Jacou;pagesjaunes.fr
L'Assiette de Jacou;Francais;contact@lassietedejacou.fr;04 67 58 08 04;18 Rue Louis Breguet 34830 Jacou;Jacou;pagesjaunes.fr
Hotel Neptune Restaurant;Hotel restaurant;contact@hotel-neptune.fr;;Carnon Plage 34130 Mauguio;Carnon;hotel-neptune.fr
Le Goat des Hotes;Francais traditionnel hotel;contact@legoutdeshotes.fr;04 67 48 15 34;Frontignan;Frontignan;restauranthotel-frontignan-legoutdeshotes.fr
La Chapelle;Francais;contact@lachapelle-vlm.fr;04 67 07 95 80;Villeneuve-les-Maguelone;Villeneuve-les-Maguelone;pagesjaunes.fr
Table d'Oc;Buffet a volonte;contact@restauranttabledoc.com;;Villeneuve-les-Maguelone;Villeneuve-les-Maguelone;restauranttabledoc.com
Lo Motas;Bar lounge restaurant;contact@lo-motas-lgm.fr;07 69 59 61 65;La Grande Motte;La Grande Motte;lo-motas-lgm.fr
L'Eden Restaurant;Restaurant lounge;contact@leden-restaurant.fr;04 99 62 94 79;197 Place de l'Epi 34280 La Grande Motte;La Grande Motte;leden-restaurant-la-grande-motte.fr
La Cachette de Mame;Poissons fruits de mer;contact@la-cachette-de-mame.fr;;36 Quai General de Gaulle 30240 Le Grau-du-Roi;Le Grau-du-Roi;la-cachette-de-mame-restaurant-le-grau-du-roi.fr
Le Bistrot du Port;Traditionnel port;contact@bistrotduport.fr;04 66 53 09 03;13 Quai Laperouse Port Camargue 30240 Le Grau-du-Roi;Le Grau-du-Roi (Port-Camargue);portcamargue.com
Le Dauphin Grau-du-Roi;Poissons fruits de mer;contact@ledauphin-grauduroi.fr;04 66 53 91 44;48 Quai General de Gaulle 30240 Le Grau-du-Roi;Le Grau-du-Roi;pagesjaunes.fr
Cafe de Bouzigues;Bistrot brasserie provencal;contact@cafedebouzigues.fr;04 66 53 93 95;7 Rue Pasteur 30220 Aigues-Mortes;Aigues-Mortes;pagesjaunes.fr
La Barque Bleue;Plage restaurant poissons;contact@labarquebleue-sete.fr;;27 Route Corniche de Neuburg 34200 Sete;Sete;labarquebleue.wixsite.com
Le Grand Bleu;Poissons fruits de mer;contact@legrandbleu-sete.fr;;15 Quai General Durand 34200 Sete;Sete;tourisme-sete.com
Paris Mediterranee;Poissons traditionnel;contact@paris-mediterranee.fr;;47 Rue Pierre Semard 34200 Sete;Sete;icioncuisine.com
La Marine Sete;Poissons brasserie port;contact@lamarine-resto.fr;06 12 17 54 04;29 Quai General Durand 34200 Sete;Sete;lamarine-resto.fr
O Loup Thau Quai;Poissons fruits de mer;contact@oloupthauquai.fr;09 60 45 29 62;Port de plaisance Quai Robert Alary 34110 Frontignan;Frontignan;pagesjaunes.fr
Va Bene Palavas;Pizzeria;contact@vabene-palavas.fr;04 67 68 45 88;5 Boulevard Marechal Joffre 34250 Palavas-les-Flots;Palavas-les-Flots;pagesjaunes.fr
El Fuego Palavas;Restaurant grillades;contact@elfuego-palavas.fr;04 67 68 38 68;Palavas-les-Flots;Palavas-les-Flots;pagesjaunes.fr
Le Restaurant Palavas;Francais traditionnel;contact@lerestaurant-palavas.fr;04 67 68 00 01;Palavas-les-Flots;Palavas-les-Flots;palavas-tourisme.com
Nouba Carnon;Cuisine festive fusion;direction-nouba@hotmail.com;07 52 73 66 57;Place Saint-Marc Port Carnon 34130 Mauguio;Carnon;noubacarnon.com
Le Petit Lezard;Poissons fruits de mer;contact@petit-lezard.fr;04 67 50 55 55;63 Avenue Etang du Grec 34250 Palavas-les-Flots;Palavas-les-Flots;petit-lezard.fr
Mas de Lafeuillade;Bistronomique hotel charme;contact@mas-de-lafeuillade.com;06 77 18 29 69;281 Rue Fra Angelico 34000 Montpellier;Port Marianne;mas-de-lafeuillade.com
L'O3 Brasserie Castries;Brasserie;contact@brasserie-castries.fr;;Castries;Castries (peri-Montpellier);brasserie-castries.fr
L3 Brasserie du Midi-Teyranais;Brasserie;contact@restaurant-midi-teyranais.fr;;1 Avenue de Vendargues 34820 Teyran;Le Cres (peri);restaurant-midi-teyranais.fr
Niam By Pith;Asiatique fusion;contact@niambypith.fr;;16 Rue Fernand Soubeyran 34830 Jacou;Jacou;pagesjaunes.fr
Les Halles 610 Jacou;Food hall;contact@halles610.fr;;6-10 Rue Louis Breguet 34830 Jacou;Jacou;pagesjaunes.fr
La Salle a Manger Grabels;Gastronomique;contact@lasalleamanger-grabels.fr;;Grabels;Grabels;pagesjaunes.fr
La Casa Pizzeria Grabels;Pizzeria;contact@lacasa-grabels.fr;;Grabels;Grabels;pagesjaunes.fr
Le Plaza Lunae;Francais traditionnel;contact@plazalunae.fr;04 99 54 62 02;Lunel;Lunel;pagesjaunes.fr
Derriere l'Eglise;Bistronomique;contact@derriereleglise-lunel.fr;;Lunel;Lunel;tables-auberges.com
La Goulue;Bistronomique;contact@lagoulue-aiguesmortes.fr;;Aigues-Mortes;Aigues-Mortes;facebook.com/lagoulue30
Le Restoro;Fruits de mer;contact@lerestoro.fr;04 66 51 02 56;520 Avenue du Palais de la Mer 30240 Le Grau-du-Roi;Le Grau-du-Roi;letsgrau.com
Quai 54;Poissons mediterraneen;contact@quai54-grauduroi.fr;;56 Quai du General de Gaulle 30240 Le Grau-du-Roi;Le Grau-du-Roi;pagesjaunes.fr
Le Vivier;Poissons fruits de mer;contact@levivier-grauduroi.fr;;Le Grau-du-Roi;Le Grau-du-Roi;pagesjaunes.fr
La Table de Laura;Francais gastronomique;contact@latabledelaura.fr;04 67 74 30 15;Sete;Sete;latabledelaura.fr
L'Estacade;Poissons traditionnel;contact@lestacade-sete.fr;;Sete;Sete;restaurants-de-france.fr
Le Passage Sete;Poissons fruits de mer;contact@lepassage-sete.fr;;Sete;Sete;WebSearch
Au Poisson Bleu;Poissons fruits de mer;contact@aupoissonbleu-sete.fr;;Sete;Sete;restaurants-de-france.fr
La Table de l'Oustau;Traditionnel camargue;contact@oustaucamarguen.com;04 66 51 51 65;Le Grau-du-Roi;Le Grau-du-Roi;tourismegard.com
Le Petit Nice;Restaurant port;contact@lepetitnicesete.fr;;Port Camargue 30240 Le Grau-du-Roi;Le Grau-du-Roi (Port-Camargue);portcamargue.com
Plein Sud La Grande Motte;Mediterraneen;contact@pleinsud-lgm.fr;;La Grande Motte;La Grande Motte;pagesjaunes.fr
Cote Sud La Grande Motte;Mediterraneen;contact@cotesud-lgm.fr;;La Grande Motte;La Grande Motte;pagesjaunes.fr
Le Repaire;Brasserie;contact@lerepairelgm.fr;;La Grande Motte;La Grande Motte;lerepairelgm.metro.bar
